"lemma","poscode","surface"
"Bonnet/hood","3","Bonnet/hood","Bonnet","Hood"
"Bumper","3","Bumper"
"Fender","3","Fender"
"Grille","3","Grille","Grill"
"Quarter panel","3","Quarter panel"
"Spoiler","3","Spoiler","Front spoiler","Rear spoiler","air dam","wing"
"Rims","3","Rims","Hubcap","Tire/Tyre"
"Doors","3","Doors","Body Part","Front Right Outer door","Front Left Side Outer door handles","Rear Right Side Outer door handles","Rear Left Side Outer door handles","Front Right Side Inner door handles","Front Left Side Inner door handles","Rear Right Side Inner door handles","Rear Left Side Inner door handles","Back Door Outer Door Handles","Front Right Side Window motor","Front Left Side Window motor","Rear Right Side Window motor","Rear Left Side Window motor","Door latch","Door lock and power door locks","Center-locking","Fuel tank","Door lock","power door locks","Hinge"
"Windows","3","Windows","Glass","Front Right Side Door Glass","Front Left Side Door Glass","Rear Right Side Door Glass","Rear Left Side Door Glass","Rear Right Quarter Glass","Rear Left Quarter Glass","Sunroof","Sunroof motor","Sunroof Rail","Sunroof Glass","Window motor","Window regulator","Windshield","windscreen","Window seal"
"Audio/Video Devices","3","Audio/Video Devices","Radio","media player","Speaker","Video player","Subwoofer","Tuner","Radio and media player"
"Camera","3","Camera","Dashcam","Backup camera"
"Charging system","3","Charging system","Alternator","Regulator","Stator","Pulley"
"Electrical supply system","3","Electrical supply system","Battery","Performance Battery","Battery Box","Battery Cable terminal","Battery Cable","Battery Control system","Battery Plate","Battery tray","Battery Cap","Voltage regulator"
"Gauges and meters","3","Gauges and meters","Voltmeter","Speedometer","Tachometer","Odometer","mileometers","milometer"
"Ignition electronic system","3","Ignition electronic system","Spark plug","Ignition coil"
"Lighting and signaling system","3","Lighting and signaling system","Fog light","Halogen","Headlight","headlamp","Tail light","Tail light cover","Indicator light"
"Sensors","3","Sensors","Airbag sensors","Coolant temperature sensor","Automatic transmission speed sensor","Light sensor","Oil level sensor","Oil pressure sensor","Oxygen sensor"
"Electrical Switches","3","Electrical Switches","Battery","Door switch","Ignition switch","Power window switch","Steering column switch","Switch cover","Thermostat"
"Wiring harnesses","3","Wiring harnesses","Air conditioning harness","Engine compartment harness","Interior harness","control harness"
"Miscellaneous","3","Miscellaneous","Air bag control module","Navigation system","GPS navigation device","Remote lock","Fuse","Fuse box","Cruise control computer","Alarm and siren","Central locking system"
